,id_ketua,id_anggota1,id_anggota2,id_anggota3,id_anggota4,id_anggota5,keterlibatan_vltr,jml_vltr_terlibat,tahun,skema,luaran_hki,jenis_luaran_hki,potensi_hki,luaran_lain,jenis_luaran_lain,status_luaran_lain
71,0.0,0.0,0.0,8602.0,0.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
72,8402.0,0.0,0.0,0.0,9201.0,0.0,YA,2,2022,KEMITRAAN,ADA,Hak Cipta,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
73,7903.0,8104.0,8604.0,7801.0,0.0,0.0,TIDAK,2,2022,REGULER,TIDAK ADA,TIDAK ADA,YA,TIDAK ADA,TIDAK ADA,TIDAK ADA
74,9003.0,8602.0,8704.0,9101.0,9104.0,0.0,YA,4,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
75,8804.0,8003.0,8803.0,8005.0,9102.0,0.0,TIDAK,0,2022,REGULER,ADA,Hak Cipta,SUDAH,YA,Publikasi Media Massa,Terpublikasi
76,5911.0,9002.0,9101.0,8702.0,8807.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
77,8812.0,9003.0,8906.0,8701.0,0.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
78,8805.0,7308.0,569.0,9106.0,0.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
79,0.0,0.0,0.0,7607.0,0.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
80,8803.0,8804.0,9102.0,8005.0,9303.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
81,6211.0,8901.0,9003.0,9303.0,9007.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
82,8601.0,8903.0,8703.0,0.0,0.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
83,8703.0,8601.0,9202.0,9102.0,6204.0,0.0,YA,3,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
84,8102.0,7109.0,5903.0,7206.0,8903.0,0.0,TIDAK,0,2022,REGULER,TIDAK ADA,TIDAK ADA,TIDAK,TIDAK ADA,TIDAK ADA,TIDAK ADA
